HGNC ID	NCBI gene ID
HGNC:30032	55690
HGNC:30064	55193
HGNC:30215	346389
HGNC:30287	57521
HGNC:30438	151963
HGNC:30542	92017
HGNC:30580	85464
HGNC:30615	92521
HGNC:30646	27044
HGNC:30767	90417
HGNC:3082	22947
HGNC:30869	23264
HGNC:30991	121227
HGNC:3115	1871
HGNC:3126	1879
HGNC:3188	8726
HGNC:3236	1956
HGNC:32416	653489
HGNC:3246	26298
HGNC:3250	1964
HGNC:3277	3646
HGNC:3284	1974
HGNC:3287	1977
HGNC:32950	340578
HGNC:33164	440093
HGNC:3318	1999
HGNC:3319	2000
HGNC:3326	2005
HGNC:3327	2006
HGNC:3350	2023
HGNC:33517	100101467
HGNC:3373	2033
HGNC:33738	340602
HGNC:3374	2034
HGNC:3387	2042
HGNC:3389	2044
HGNC:3390	2045
HGNC:3392	2047
HGNC:3395	2050
HGNC:3419	2060
HGNC:3430	2064
HGNC:3431	2065
HGNC:3432	2066
HGNC:3433	2067
HGNC:3434	2068
HGNC:3435	2071
HGNC:3436	2072
HGNC:3437	2073
HGNC:3446	2078
HGNC:346	57491
HGNC:3467	2099
HGNC:3488	2113
HGNC:3490	2115
HGNC:3493	2118
HGNC:3494	2119
HGNC:3495	2120
HGNC:3498	2122
HGNC:3508	2130
HGNC:3512	2131
HGNC:3513	2132
HGNC:3527	2146
HGNC:3570	2181
HGNC:3582	2175
HGNC:3584	2176
HGNC:3585	2177
HGNC:3586	2178
HGNC:3587	2188
HGNC:3588	2189
HGNC:3595	2195
HGNC:3601	2199
HGNC:3618	2213
HGNC:3650	2237
HGNC:3657	2242
HGNC:3665	2246
HGNC:3666	2255
HGNC:3668	2257
HGNC:3671	2259
HGNC:3675	9965
HGNC:3676	2247
HGNC:3680	8074
HGNC:3681	2248
HGNC:3682	2249
HGNC:3683	2250
HGNC:3684	2251
HGNC:3685	2252
HGNC:3686	2253
HGNC:3687	2254
HGNC:3688	2260
HGNC:3689	2263
HGNC:3690	2261
HGNC:3691	2264
HGNC:3697	2268
HGNC:3700	2271
HGNC:3701	2272
HGNC:37214	643376
HGNC:3725	11328
HGNC:3749	2313
HGNC:3754	2316
HGNC:3763	2321
HGNC:3765	2322
HGNC:3767	2324
HGNC:3778	2335
HGNC:379	10142
HGNC:3819	2308
HGNC:3821	2309
HGNC:3823	27086
HGNC:3826	2357
HGNC:391	207
HGNC:392	208
HGNC:393	10000
HGNC:3942	2475
HGNC:3973	10272
HGNC:4004	8880
HGNC:4010	2521
HGNC:4021	2531
HGNC:4037	2534
HGNC:404	217
HGNC:4066	2549
HGNC:4080	2559
HGNC:4141	2597
HGNC:4169	8522
HGNC:4170	2623
HGNC:4171	2624
HGNC:4172	2625
HGNC:4173	2626
HGNC:4174	2627
HGNC:4175	2628
HGNC:427	238
HGNC:428	7840
HGNC:430	242
HGNC:4317	2735
HGNC:4318	2736
HGNC:4369	2762
HGNC:4378	8833
HGNC:4379	2767
HGNC:4381	10672
HGNC:4384	2770
HGNC:4390	2776
HGNC:4392	2778
HGNC:4428	9950
HGNC:4451	2719
HGNC:4453	2262
HGNC:44654	145788
HGNC:4504	8549
HGNC:4507	9568
HGNC:4550	2874
HGNC:4585	2903
HGNC:4591	2909
HGNC:4595	2913
HGNC:4617	2932
HGNC:4696	2990
HGNC:4716	3006
HGNC:4747	3017
HGNC:4764	3020
HGNC:4765	3021
HGNC:4766	8350
HGNC:4767	8351
HGNC:4768	8352
HGNC:4769	8353
HGNC:4771	8354
HGNC:4772	8355
HGNC:4773	8968
HGNC:4774	8356
HGNC:4775	8357
HGNC:4776	8358
HGNC:4778	8290
HGNC:4793	8294
HGNC:4819	3037
HGNC:4852	3065
HGNC:4880	23462
HGNC:4893	3082
HGNC:4910	3091
HGNC:4913	3092
HGNC:492	286
HGNC:4931	3105
HGNC:4932	3106
HGNC:4933	3107
HGNC:4940	3115
HGNC:4944	3119
HGNC:4948	3123
HGNC:4977	3131
HGNC:4979	3110
HGNC:5009	8091
HGNC:5010	3159
HGNC:5021	3169
HGNC:5033	3181
HGNC:5044	3190
HGNC:5056	3195
HGNC:50800	100288687
HGNC:5101	3207
HGNC:5102	3209
HGNC:5109	3205
HGNC:5112	10481
HGNC:5123	3227
HGNC:5125	3229
HGNC:5134	3237
HGNC:5136	3239
HGNC:5157	3251
HGNC:5173	3265
HGNC:5217	3283
HGNC:5253	3320
HGNC:5258	3326
HGNC:5270	3337
HGNC:5318	3371
HGNC:5362	3399
HGNC:5382	3417
HGNC:5383	3418
